accuracy,precision,recall,f1,train_size
0.5,0.5,1.0,0.6666666666666666,25
0.515,1.0,0.03,0.058252427184466,50
0.52,1.0,0.04,0.0769230769230769,100
0.68,0.8103448275862069,0.47,0.5949367088607594,150
0.6775,0.9080459770114944,0.395,0.5505226480836237,200
0.73,0.7911392405063291,0.625,0.6983240223463687,250
0.77,0.8068181818181818,0.71,0.7553191489361702,300
0.77,0.8068181818181818,0.71,0.7553191489361702,350
0.77,0.8068181818181818,0.71,0.7553191489361702,400
0.77,0.8068181818181818,0.71,0.7553191489361702,450
0.77,0.8068181818181818,0.71,0.7553191489361702,500
0.77,0.8068181818181818,0.71,0.7553191489361702,550
0.77,0.8068181818181818,0.71,0.7553191489361702,600
