eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,size,epochs
0.8171168565750122,0.735,0.7,0.8225,0.7563218390804598,1.2499,640.064,80.008,21.0,25,50
0.7493475079536438,0.82875,0.8123515439429929,0.855,0.833130328867235,1.2556,637.162,79.645,20.0,50,50
0.3852202296257019,0.8875,0.8780487804878049,0.9,0.8888888888888888,1.2437,643.252,80.406,11.0,100,50
0.4478076100349426,0.9075,0.9312169312169312,0.88,0.9048843187660668,1.246,642.068,80.259,12.0,150,50
0.4027359783649444,0.9125,0.9483695652173914,0.8725,0.9088541666666666,1.2505,639.74,79.967,11.0,200,50
0.4492270648479461,0.92625,0.9360613810741688,0.915,0.9254108723135273,1.2519,639.005,79.876,14.0,250,50
0.3363950252532959,0.94125,0.9809264305177112,0.9,0.938722294654498,1.2559,636.985,79.623,13.0,300,50
0.2972688376903534,0.9325,0.962566844919786,0.9,0.9302325581395348,1.2558,637.032,79.629,10.0,350,50
0.2550375461578369,0.945,0.961139896373057,0.9275,0.9440203562340967,1.2581,635.866,79.483,11.0,400,50
0.2716965079307556,0.94,0.9536082474226804,0.925,0.9390862944162436,1.2567,636.579,79.572,11.0,450,50
0.2950886785984039,0.93875,0.9558441558441558,0.92,0.9375796178343948,1.2579,635.958,79.495,11.0,500,50
0.2716966569423675,0.94,0.9536082474226804,0.925,0.9390862944162436,1.2565,636.694,79.587,11.0,550,50
0.2716965675354004,0.94,0.9536082474226804,0.925,0.9390862944162436,1.2582,635.841,79.48,11.0,600,50
